"District","District Code","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""",100,9.0
"Achievement First Hartford Academy District","=""2880013""",95,8.1
"Amistad Academy District","=""2790013""",95,8.6
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",231,9.5
"Area Cooperative Educational Services","=""2440014""",233,12.0
"Ashford School District","=""0030011""",11,2.7
"Avon School District","=""0040011""",44,1.4
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",80,2.9
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",126,3.9
"Bloomfield School District","=""0110011""",225,9.8
"Bolton School District","=""0120011""",11,1.4
"Booker T. Washington Academy District","=""2950013""",11,2.6
"Bozrah School District","=""0130011""",7,3.6
"Branford School District","=""0140011""",105,3.6
"Brass City Charter School District","=""2900013""",16,4.8
"Bridgeport School District","=""0150011""",2004,9.4
"Bristol School District","=""0170011""",517,6.2
"Brookfield School District","=""0180011""",79,2.9
"Brooklyn School District","=""0190011""",27,2.8
"Canaan School District","=""0210011""","N/A","N/A"
"Canterbury School District","=""0220011""",7,1.4
"Canton School District","=""0230011""",19,1.2
"Capital Preparatory Harbor School District","=""2970013""",67,8.5
"Capitol Region Education Council","=""2410014""",528,6.0
"Chaplin School District","=""0240011""","N/A","N/A"
"Cheshire School District","=""0250011""",68,1.6
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",73,4.2
"Colchester School District","=""0280011""",92,3.8
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",8,1.9
"Common Ground High School District","=""2680013""",17,7.4
"Connecticut Technical Education and Career System","=""9000016""",1310,11.6
"Cooperative Educational Services","=""2430014""",39,4.4
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",33,1.9
"Cromwell School District","=""0330011""",92,4.5
"Danbury School District","=""0340011""",626,5.0
"Darien School District","=""0350011""",44,0.9
"Deep River School District","=""0360011""","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Derby School District","=""0370011""",161,11.7
"East Granby School District","=""0400011""",29,3.4
"East Haddam School District","=""0410011""",13,1.3
"East Hampton School District","=""0420011""",41,2.2
"East Hartford School District","=""0430011""",691,9.6
"East Haven School District","=""0440011""",150,5.0
"East Lyme School District","=""0450011""",66,2.4
"East Windsor School District","=""0470011""",72,6.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",47,9.0
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"EdAdvance","=""2420014""",28,8.7
"Ellington School District","=""0480011""",100,3.7
"Elm City College Preparatory School District","=""2890013""",65,8.4
"Elm City Montessori School District","=""2910013""","*","*"
"Enfield School District","=""0490011""",356,6.8
"Essex School District","=""0500011""","*","*"
"Explorations District","=""2720013""",16,16.3
"Fairfield School District","=""0510011""",148,1.5
"Farmington School District","=""0520011""",56,1.3
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",125,2.1
"Granby School District","=""0560011""",44,2.4
"Great Oaks Charter School District","=""2940013""",80,14.3
"Greenwich School District","=""0570011""",121,1.3
"Griswold School District","=""0580011""",94,5.1
"Groton School District","=""0590011""",210,4.6
"Guilford School District","=""0600011""",74,2.2
"Hamden School District","=""0620011""",329,5.7
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",2051,10.3
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Highville Charter School District","=""2860013""",56,11.9
"Integrated Day Charter School District","=""2640013""",7,2.0
"Interdistrict School for Arts and Comm District","=""2650013""",32,11.1
"Jumoke Academy District","=""2610013""",38,5.3
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",177,6.9
"Learn","=""2450014""",137,5.3
"Lebanon School District","=""0710011""",45,4.4
"Ledyard School District","=""0720011""",74,2.9
"Lisbon School District","=""0730011""",25,5.7
"Litchfield School District","=""0740011""",16,1.8
"Madison School District","=""0760011""",39,1.5
"Manchester School District","=""0770011""",465,7.0
"Mansfield School District","=""0780011""",19,1.6
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",473,5.5
"Middletown School District","=""0830011""",242,5.1
"Milford School District","=""0840011""",198,3.4
"Monroe School District","=""0850011""",36,1.1
"Montville School District","=""0860011""",98,4.6
"Naugatuck School District","=""0880011""",296,6.4
"New Beginnings Inc Family Academy District","=""2800013""",6,1.2
"New Britain School District","=""0890011""",960,8.9
"New Canaan School District","=""0900011""",36,0.8
"New Fairfield School District","=""0910011""",46,2.1
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",991,4.6
"New London School District","=""0950011""",272,7.5
"New Milford School District","=""0960011""",187,4.6
"Newington School District","=""0940011""",125,3.0
"Newtown School District","=""0970011""",69,1.6
"Norfolk School District","=""0980011""","N/A","N/A"
"North Branford School District","=""0990011""",86,5.0
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",70,2.2
"North Stonington School District","=""1020011""",18,2.3
"Norwalk School District","=""1030011""",452,3.7
"Norwich Free Academy District","=""9010022""",267,11.4
"Norwich School District","=""1040011""",189,5.0
"Odyssey Community School District","=""2630013""","*","*"
"Old Saybrook School District","=""1060011""",10,0.8
"Orange School District","=""1070011""",6,0.5
"Oxford School District","=""1080011""",22,1.3
"Park City Prep Charter School District","=""2830013""",15,4.1
"Plainfield School District","=""1090011""",149,6.6
"Plainville School District","=""1100011""",73,3.0
"Plymouth School District","=""1110011""",103,7.2
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""",50,3.7
"Preston School District","=""1140011""","N/A","N/A"
"Putnam School District","=""1160011""",51,4.2
"Redding School District","=""1170011""",14,1.6
"Regional School District 01","=""2010012""",34,9.2
"Regional School District 04","=""2040012""",24,2.7
"Regional School District 05","=""2050012""",45,2.0
"Regional School District 06","=""2060012""",38,4.1
"Regional School District 07","=""2070012""",19,1.8
"Regional School District 08","=""2080012""",45,3.1
"Regional School District 09","=""2090012""",15,1.7
"Regional School District 10","=""2100012""",39,1.6
"Regional School District 11","=""2110012""",9,4.2
"Regional School District 12","=""2120012""",9,1.3
"Regional School District 13","=""2130012""",40,2.6
"Regional School District 14","=""2140012""",34,2.1
"Regional School District 15","=""2150012""",95,2.5
"Regional School District 16","=""2160012""",51,2.4
"Regional School District 17","=""2170012""",74,3.7
"Regional School District 18","=""2180012""",26,2.0
"Regional School District 19","=""2190012""",27,2.4
"Ridgefield School District","=""1180011""",43,0.9
"Rocky Hill School District","=""1190011""",60,2.1
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","N/A","N/A"
"Seymour School District","=""1240011""",129,5.7
"Sharon School District","=""1250011""","N/A","N/A"
"Shelton School District","=""1260011""",203,4.2
"Sherman School District","=""1270011""","*","*"
"Side By Side Charter School District","=""2700013""","*","*"
"Simsbury School District","=""1280011""",57,1.4
"Somers School District","=""1290011""",45,3.3
"South Windsor School District","=""1320011""",100,2.1
"Southington School District","=""1310011""",180,2.8
"Sprague School District","=""1330011""",13,4.3
"Stafford School District","=""1340011""",84,5.6
"Stamford Academy District","=""2820013""","*","*"
"Stamford Charter School for Excellence District","=""2960013""","*","*"
"Stamford School District","=""1350011""",526,3.1
"Sterling School District","=""1360011""",30,7.9
"Stonington School District","=""1370011""",89,4.4
"Stratford School District","=""1380011""",433,6.1
"Suffield School District","=""1390011""",73,3.3
"The Bridge Academy District","=""2690013""",7,2.4
"The Gilbert School District","=""9020022""",62,12.7
"The Woodstock Academy District","=""9030022""",55,4.8
"Thomaston School District","=""1400011""",40,4.6
"Thompson School District","=""1410011""",50,4.8
"Tolland School District","=""1420011""",51,2.1
"Torrington School District","=""1430011""",243,6.0
"Trumbull School District","=""1440011""",68,1.0
"Unified School District #1","=""3360015""","N/A","N/A"
"Unified School District #2","=""3470015""","N/A","N/A"
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",200,6.0
"Voluntown School District","=""1470011""","N/A","N/A"
"Wallingford School District","=""1480011""",262,4.5
"Waterbury School District","=""1510011""",2138,10.8
"Waterford School District","=""1520011""",68,2.7
"Watertown School District","=""1530011""",116,4.2
"West Hartford School District","=""1550011""",278,2.9
"West Haven School District","=""1560011""",481,7.8
"Westbrook School District","=""1540011""",6,0.9
"Weston School District","=""1570011""",27,1.2
"Westport School District","=""1580011""",46,0.8
"Wethersfield School District","=""1590011""",102,2.8
"Willington School District","=""1600011""",10,2.2
"Wilton School District","=""1610011""",23,0.6
"Winchester School District","=""1620011""",13,2.1
"Windham School District","=""1630011""",369,10.5
"Windsor Locks School District","=""1650011""",87,5.2
"Windsor School District","=""1640011""",292,8.4
"Wolcott School District","=""1660011""",69,2.9
"Woodbridge School District","=""1670011""",9,1.0
"Woodstock School District","=""1690011""","*","*"

