"District","District Code","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",216,21.1
"Amistad Academy District","=""2790013""",267,25.5
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",276,11.6
"Area Cooperative Educational Services","=""2440014""",282,14.3
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",60,1.8
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",80,2.8
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",225,7.4
"Bloomfield School District","=""0110011""",245,11.2
"Bolton School District","=""0120011""",24,2.9
"Booker T. Washington Academy District","=""2950013""",14,5.9
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",162,5.4
"Brass City Charter School District","=""2900013""","*","*"
"Bridgeport Achievement First District","=""2850013""",190,18.6
"Bridgeport School District","=""0150011""",3184,14.8
"Bristol School District","=""0170011""",616,7.6
"Brookfield School District","=""0180011""",97,3.6
"Brooklyn School District","=""0190011""",44,5.1
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",17,3.6
"Canton School District","=""0230011""",42,2.6
"Capital Preparatory Harbor School Inc. District","=""2970013""",64,26.1
"Capitol Region Education Council","=""2410014""",825,9.8
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",136,3.1
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",72,4.0
"Colchester School District","=""0280011""",96,3.8
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",17,3.8
"Common Ground High School District","=""2680013""",17,8.9
"Connecticut Technical High School System","=""9000016""",1365,13.1
"Cooperative Educational Services","=""2430014""",44,5.1
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",29,1.8
"Cromwell School District","=""0330011""",116,5.8
"Danbury School District","=""0340011""",975,8.4
"Darien School District","=""0350011""",53,1.1
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Derby School District","=""0370011""",163,11.4
"East Granby School District","=""0400011""",40,4.6
"East Haddam School District","=""0410011""",41,4.0
"East Hampton School District","=""0420011""",59,3.1
"East Hartford School District","=""0430011""",810,11.7
"East Haven School District","=""0440011""",272,9.1
"East Lyme School District","=""0450011""",63,2.2
"East Windsor School District","=""0470011""",97,9.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",48,11.7
"Eastford School District","=""0390011""",8,5.3
"Easton School District","=""0460011""",10,1.1
"EdAdvance","=""2420014""","*","*"
"Ellington School District","=""0480011""",165,6.2
"Elm City College Preparatory School District","=""2890013""",118,16.4
"Elm City Montessori School District","=""2910013""",6,4.7
"Enfield School District","=""0490011""",402,7.6
"Essex School District","=""0500011""","*","*"
"Explorations District","=""2720013""",15,17.4
"Fairfield School District","=""0510011""",206,2.0
"Farmington School District","=""0520011""",52,1.3
"Franklin School District","=""0530011""",8,4.8
"Glastonbury School District","=""0540011""",138,2.3
"Granby School District","=""0560011""",76,4.1
"Great Oaks Charter School District","=""2940013""",119,38.5
"Greenwich School District","=""0570011""",136,1.5
"Griswold School District","=""0580011""",112,6.1
"Groton School District","=""0590011""",334,7.6
"Guilford School District","=""0600011""",60,1.8
"Hamden School District","=""0620011""",457,8.3
"Hampton School District","=""0630011""","N/A","N/A"
"Hartford School District","=""0640011""",2864,13.7
"Hartland School District","=""0650011""",9,4.7
"Hebron School District","=""0670011""",9,1.3
"Highville Charter School District","=""2860013""",72,14.9
"Integrated Day Charter School District","=""2640013""",10,3.1
"Interdistrict School for Arts and Comm District","=""2650013""",41,15.6
"Jumoke Academy District","=""2610013""",85,11.5
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",194,7.7
"Learn","=""2450014""",194,8.2
"Lebanon School District","=""0710011""",30,2.9
"Ledyard School District","=""0720011""",148,6.1
"Lisbon School District","=""0730011""",7,1.7
"Litchfield School District","=""0740011""",38,4.0
"Madison School District","=""0760011""",41,1.4
"Manchester School District","=""0770011""",587,9.2
"Mansfield School District","=""0780011""",32,2.7
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",604,7.5
"Middletown School District","=""0830011""",334,7.1
"Milford School District","=""0840011""",341,5.7
"Monroe School District","=""0850011""",70,2.2
"Montville School District","=""0860011""",96,4.3
"Naugatuck School District","=""0880011""",374,8.7
"New Beginnings Inc Family Academy District","=""2800013""","*","*"
"New Britain School District","=""0890011""",1177,11.5
"New Canaan School District","=""0900011""",41,1.0
"New Fairfield School District","=""0910011""",72,3.0
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",1523,6.9
"New London School District","=""0950011""",445,12.3
"New Milford School District","=""0960011""",230,5.4
"Newington School District","=""0940011""",170,4.1
"Newtown School District","=""0970011""",144,3.2
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",95,5.1
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",107,3.4
"North Stonington School District","=""1020011""",33,4.4
"Norwalk School District","=""1030011""",742,6.3
"Norwich Free Academy District","=""9010022""",325,13.9
"Norwich School District","=""1040011""",278,7.4
