"District","District Code","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",243,23.8
"Amistad Academy District","=""2790013""",285,27.9
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",199,8.2
"Area Cooperative Educational Services","=""2440014""",256,12.8
"Ashford School District","=""0030011""",14,3.5
"Avon School District","=""0040011""",60,1.8
"Barkhamsted School District","=""0050011""","N/A","N/A"
"Berlin School District","=""0070011""",90,3.1
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",205,6.8
"Bloomfield School District","=""0110011""",276,13.1
"Bolton School District","=""0120011""",35,4.3
"Booker T. Washington Academy District","=""2950013""",23,12.9
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",180,5.8
"Brass City Charter School District","=""2900013""",8,4.3
"Bridgeport Achievement First District","=""2850013""",235,23.6
"Bridgeport School District","=""0150011""",3327,15.4
"Bristol School District","=""0170011""",686,8.3
"Brookfield School District","=""0180011""",84,3.1
"Brooklyn School District","=""0190011""",59,6.5
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",11,2.2
"Canton School District","=""0230011""",42,2.6
"Capital Preparatory Harbor School Inc. District","=""2970013""",50,23.3
"Capitol Region Education Council","=""2410014""",828,10.1
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",144,3.2
"Chester School District","=""0260011""","N/A","N/A"
"Clinton School District","=""0270011""",61,3.3
"Colchester School District","=""0280011""",102,3.9
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",11,2.4
"Common Ground High School District","=""2680013""",13,7.4
"Connecticut Technical High School System","=""9000016""",1537,14.6
"Cooperative Educational Services","=""2430014""",50,5.6
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",46,2.8
"Cromwell School District","=""0330011""",130,6.5
"Danbury School District","=""0340011""",819,7.2
"Darien School District","=""0350011""",35,0.7
"Deep River School District","=""0360011""",9,2.9
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Derby School District","=""0370011""",151,10.8
"East Granby School District","=""0400011""",58,6.6
"East Haddam School District","=""0410011""",23,2.1
"East Hampton School District","=""0420011""",62,3.3
"East Hartford School District","=""0430011""",874,12.5
"East Haven School District","=""0440011""",246,8.0
"East Lyme School District","=""0450011""",87,3.1
"East Windsor School District","=""0470011""",84,7.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",56,13.4
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",12,1.3
"Education Connection","=""2420014""",15,7.7
"Ellington School District","=""0480011""",139,5.2
"Elm City College Preparatory School District","=""2890013""",127,18.3
"Elm City Montessori School District","=""2910013""","N/A","N/A"
"Enfield School District","=""0490011""",423,8.0
"Essex School District","=""0500011""","N/A","N/A"
"Explorations District","=""2720013""",18,20.7
"Fairfield School District","=""0510011""",208,2.0
"Farmington School District","=""0520011""",59,1.4
"Franklin School District","=""0530011""",9,5.3
"Glastonbury School District","=""0540011""",68,1.1
"Granby School District","=""0560011""",64,3.2
"Great Oaks Charter School District","=""2940013""",73,33.5
"Greenwich School District","=""0570011""",98,1.1
"Griswold School District","=""0580011""",117,6.2
"Groton School District","=""0590011""",337,7.5
"Guilford School District","=""0600011""",79,2.3
"Hamden School District","=""0620011""",457,8.1
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",3082,14.3
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",9,1.2
"Highville Charter School District","=""2860013""",95,21.3
"Integrated Day Charter School District","=""2640013""",12,3.6
"Interdistrict School for Arts and Comm District","=""2650013""",33,12.5
"Jumoke Academy District","=""2610013""",78,10.7
"Kent School District","=""0680011""","*","*"
