"District","District Code","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""",160,14.6
"Achievement First Hartford Academy District","=""2880013""",93,8.3
"Amistad Academy District","=""2790013""",163,15.0
"Andover School District","=""0010011""",8,4.0
"Ansonia School District","=""0020011""",343,13.9
"Area Cooperative Educational Services","=""2440014""",324,16.2
"Ashford School District","=""0030011""",13,3.1
"Avon School District","=""0040011""",82,2.5
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",136,4.8
"Bethany School District","=""0080011""",6,1.6
"Bethel School District","=""0090011""",193,6.0
"Bloomfield School District","=""0110011""",283,12.4
"Bolton School District","=""0120011""",24,3.0
"Booker T. Washington Academy District","=""2950013""",7,1.9
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",170,5.8
"Brass City Charter School District","=""2900013""",12,4.0
"Bridgeport School District","=""0150011""",2663,12.0
"Bristol School District","=""0170011""",776,9.3
"Brookfield School District","=""0180011""",114,4.2
"Brooklyn School District","=""0190011""",22,2.3
"Canaan School District","=""0210011""","N/A","N/A"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",36,2.3
"Capital Preparatory Harbor School District","=""2970013""",71,10.8
"Capitol Region Education Council","=""2410014""",720,8.1
"Chaplin School District","=""0240011""","N/A","N/A"
"Cheshire School District","=""0250011""",100,2.3
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",78,4.4
"Colchester School District","=""0280011""",117,4.9
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",9,2.0
"Common Ground High School District","=""2680013""",15,6.8
"Connecticut Technical Education and Career System","=""9000016""",1704,15.7
"Cooperative Educational Services","=""2430014""",38,4.2
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",56,3.3
"Cromwell School District","=""0330011""",124,6.2
"Danbury School District","=""0340011""",863,7.1
"Darien School District","=""0350011""",56,1.2
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Derby School District","=""0370011""",193,13.8
"East Granby School District","=""0400011""",45,5.1
"East Haddam School District","=""0410011""",45,4.3
"East Hampton School District","=""0420011""",86,4.5
"East Hartford School District","=""0430011""",1015,13.8
"East Haven School District","=""0440011""",161,5.3
"East Lyme School District","=""0450011""",87,3.1
"East Windsor School District","=""0470011""",108,9.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",43,9.0
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"EdAdvance","=""2420014""",34,10.0
"Ellington School District","=""0480011""",156,5.6
"Elm City College Preparatory School District","=""2890013""",90,11.8
"Elm City Montessori School District","=""2910013""","*","*"
"Enfield School District","=""0490011""",445,8.4
