"District","District Code","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""",152,14.8
"Achievement First Hartford Academy District","=""2880013""",132,12.1
"Amistad Academy District","=""2790013""",199,18.8
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",251,10.5
"Area Cooperative Educational Services","=""2440014""",260,13.3
"Ashford School District","=""0030011""",9,2.2
"Avon School District","=""0040011""",100,3.1
"Barkhamsted School District","=""0050011""","N/A","N/A"
"Berlin School District","=""0070011""",98,3.5
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",221,7.1
"Bloomfield School District","=""0110011""",240,11.0
"Bolton School District","=""0120011""",30,3.7
"Booker T. Washington Academy District","=""2950013""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",171,5.9
"Brass City Charter School District","=""2900013""","*","*"
"Bridgeport School District","=""0150011""",2914,13.6
"Bristol School District","=""0170011""",662,8.1
"Brookfield School District","=""0180011""",100,3.7
"Brooklyn School District","=""0190011""",48,5.3
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",7,1.5
"Canton School District","=""0230011""",25,1.6
"Capital Preparatory Harbor School District","=""2970013""",64,15.5
"Capitol Region Education Council","=""2410014""",757,9.0
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",120,2.8
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",102,5.7
"Colchester School District","=""0280011""",96,3.9
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",13,3.0
"Common Ground High School District","=""2680013""",15,7.9
"Connecticut Technical Education and Career System","=""9000016""",1753,16.7
"Cooperative Educational Services","=""2430014""",34,4.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",40,2.4
"Cromwell School District","=""0330011""",125,6.3
"Danbury School District","=""0340011""",939,8.1
"Darien School District","=""0350011""",78,1.6
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Derby School District","=""0370011""",170,12.3
