"District","District Code","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",271,29.4
"Amistad Academy District","=""2790013""",311,31.9
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",176,7.1
"Area Cooperative Educational Services","=""2440014""",260,13.0
"Ashford School District","=""0030011""",20,4.8
"Avon School District","=""0040011""",58,1.7
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",99,3.4
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",216,7.2
"Bloomfield School District","=""0110011""",233,11.0
"Bolton School District","=""0120011""",40,4.7
"Booker T. Washington Academy District","=""2950013""",13,14.1
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",159,5.1
"Brass City Charter School District","=""2900013""",7,4.7
"Bridgeport Achievement First District","=""2850013""",301,31.2
"Bridgeport School District","=""0150011""",3343,15.8
"Bristol School District","=""0170011""",698,8.4
"Brookfield School District","=""0180011""",86,3.1
"Brooklyn School District","=""0190011""",36,3.9
"Canaan School District","=""0210011""","N/A","N/A"
"Canterbury School District","=""0220011""",14,2.9
"Canton School District","=""0230011""",22,1.3
"Capitol Region Education Council","=""2410014""",653,8.2
"Chaplin School District","=""0240011""","N/A","N/A"
"Cheshire School District","=""0250011""",142,3.1
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",81,4.3
"Colchester School District","=""0280011""",115,4.3
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",23,5.0
"Common Ground High School District","=""2680013""",15,8.7
"Connecticut Technical High School System","=""9000016""",1658,15.6
"Cooperative Educational Services","=""2430014""",60,6.8
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",59,3.6
"Cromwell School District","=""0330011""",138,6.9
"Danbury School District","=""0340011""",1104,9.9
"Darien School District","=""0350011""",50,1.0
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Derby School District","=""0370011""",190,12.8
"East Granby School District","=""0400011""",37,4.2
"East Haddam School District","=""0410011""",28,2.4
"East Hampton School District","=""0420011""",45,2.4
"East Hartford School District","=""0430011""",1133,15.9
"East Haven School District","=""0440011""",187,6.1
"East Lyme School District","=""0450011""",96,3.4
"East Windsor School District","=""0470011""",93,8.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",61,15.6
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",9,1.0
"Education Connection","=""2420014""",19,7.6
"Ellington School District","=""0480011""",114,4.2
"Elm City College Preparatory School District","=""2890013""",92,14.8
"Elm City Montessori School District","=""2910013""","N/A","N/A"
"Enfield School District","=""0490011""",422,8.1
"Essex School District","=""0500011""","*","*"
"Explorations District","=""2720013""",13,15.3
"Fairfield School District","=""0510011""",165,1.6
"Farmington School District","=""0520011""",59,1.5
"Franklin School District","=""0530011""",7,3.9
"Glastonbury School District","=""0540011""",100,1.6
"Granby School District","=""0560011""",53,2.7
"Great Oaks Charter School District","=""2940013""",55,45.1
"Greenwich School District","=""0570011""",121,1.4
"Griswold School District","=""0580011""",142,7.3
"Groton School District","=""0590011""",382,8.4
"Guilford School District","=""0600011""",77,2.2
"Hamden School District","=""0620011""",462,8.1
"Hampton School District","=""0630011""","N/A","N/A"
"Hartford School District","=""0640011""",3541,16.2
"Hartland School District","=""0650011""","N/A","N/A"
"Hebron School District","=""0670011""","*","*"
"Highville Charter School District","=""2860013""",26,6.7
"Integrated Day Charter School District","=""2640013""","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""",51,19.8
"Jumoke Academy District","=""2610013""",87,12.0
"Kent School District","=""0680011""","N/A","N/A"
"Killingly School District","=""0690011""",224,8.6
"Learn","=""2450014""",98,4.4
"Lebanon School District","=""0710011""",35,3.2
"Ledyard School District","=""0720011""",141,5.6
"Lisbon School District","=""0730011""",6,1.5
"Litchfield School District","=""0740011""",48,4.8
"Madison School District","=""0760011""",54,1.7
"Manchester School District","=""0770011""",538,8.5
"Mansfield School District","=""0780011""",26,2.1
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",802,9.9
"Middletown School District","=""0830011""",383,7.9
"Milford School District","=""0840011""",338,5.3
"Monroe School District","=""0850011""",46,1.4
"Montville School District","=""0860011""",102,4.3
"Naugatuck School District","=""0880011""",349,8.0
"New Beginnings Inc., Family Academy District","=""2800013""",56,12.3
"New Britain School District","=""0890011""",1523,14.8
"New Canaan School District","=""0900011""",20,0.5
"New Fairfield School District","=""0910011""",86,3.3
"New Hartford School District","=""0920011""",7,1.4
"New Haven School District","=""0930011""",1921,8.8
"New London School District","=""0950011""",638,19.6
"New Milford School District","=""0960011""",232,5.3
"Newington School District","=""0940011""",208,5.0
"Newtown School District","=""0970011""",119,2.5
"Norfolk School District","=""0980011""",9,7.7
"North Branford School District","=""0990011""",131,6.6
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",111,3.3
"North Stonington School District","=""1020011""",33,4.4
"Norwalk School District","=""1030011""",617,5.4
"Norwich Free Academy District","=""9010022""",280,12.2
"Norwich School District","=""1040011""",254,6.7
"Odyssey Community School District","=""2630013""",17,5.3
"Old Saybrook School District","=""1060011""",47,3.3
"Orange School District","=""1070011""",12,1.0
"Oxford School District","=""1080011""",37,1.9
"Park City Prep Charter School District","=""2830013""",57,16.1
"Path Academy District","=""2930013""",53,41.4
"Plainfield School District","=""1090011""",197,8.4
"Plainville School District","=""1100011""",114,4.7
"Plymouth School District","=""1110011""",64,4.1
"Pomfret School District","=""1120011""",9,2.1
"Portland School District","=""1130011""",61,4.5
"Preston School District","=""1140011""",10,2.2
"Putnam School District","=""1160011""",74,5.9
"Redding School District","=""1170011""",11,1.1
"Regional School District 01","=""2010012""",60,14.8
"Regional School District 04","=""2040012""",26,2.6
"Regional School District 05","=""2050012""",53,2.3
"Regional School District 06","=""2060012""",50,5.2
"Regional School District 07","=""2070012""",70,6.6
"Regional School District 08","=""2080012""",90,5.5
"Regional School District 09","=""2090012""",16,1.5
"Regional School District 10","=""2100012""",76,3.0
"Regional School District 11","=""2110012""",31,11.0
"Regional School District 12","=""2120012""",38,5.0
"Regional School District 13","=""2130012""",46,2.5
"Regional School District 14","=""2140012""",25,1.4
"Regional School District 15","=""2150012""",112,2.9
"Regional School District 16","=""2160012""",92,3.9
"Regional School District 17","=""2170012""",77,3.5
"Regional School District 18","=""2180012""",26,1.9
"Regional School District 19","=""2190012""",59,5.0
"Ridgefield School District","=""1180011""",53,1.0
"Rocky Hill School District","=""1190011""",67,2.7
"Salem School District","=""1210011""",9,2.2
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""",8,6.2
"Seymour School District","=""1240011""",226,9.8
"Sharon School District","=""1250011""",6,3.3
"Shelton School District","=""1260011""",238,4.8
"Sherman School District","=""1270011""",10,2.8
"Side By Side Charter School District","=""2700013""",7,3.0
"Simsbury School District","=""1280011""",78,1.8
"Somers School District","=""1290011""",68,4.6
"South Windsor School District","=""1320011""",131,3.1
"Southington School District","=""1310011""",248,3.7
"Sprague School District","=""1330011""",32,8.4
"Stafford School District","=""1340011""",102,6.4
"Stamford Academy District","=""2820013""",41,30.4
"Stamford School District","=""1350011""",452,2.8
"Sterling School District","=""1360011""",25,5.3
"Stonington School District","=""1370011""",109,4.8
"Stratford School District","=""1380011""",491,6.9
"Suffield School District","=""1390011""",53,2.2
"The Bridge Academy District","=""2690013""",49,18.5
"The Gilbert School District","=""9020022""",171,30.5
"Thomaston School District","=""1400011""",53,5.8
"Thompson School District","=""1410011""",47,4.5
"Tolland School District","=""1420011""",60,2.2
"Torrington School District","=""1430011""",340,7.8
"Trailblazers Academy District","=""2780013""",19,13.9
"Trumbull School District","=""1440011""",94,1.4
